
 num     #instances         #bytes  class name
 108:          1224          29376  java.util.LinkedList$Node
 109:           911          29152  org.apache.spark.ui.scope.RDDOperationGraph
 110:           909          29088  org.apache.kafka.common.MetricName
 111:           909          29088  org.apache.kafka.common.metrics.KafkaMetric
 112:           854          27328  scala.reflect.internal.Names$TypeName_R
 113:           830          26560  scala.reflect.internal.Names$TermName_S
 114:           651          26040  java.lang.ref.Finalizer
 115:           405          25920  java.net.URL
 116:          1072          25728  java.lang.Double
 117:           800          25600  io.netty.util.internal.chmv8.LongAdderV8
 118:          1065          25560  java.util.concurrent.ConcurrentSkipListMap$Node
 119:           384          24576  java.util.concurrent.ConcurrentHashMap
 120:           438          24528  java.lang.Package
 121:          1019          24456  sun.reflect.annotation.AnnotationInvocationHandler
 122:          1002          24048  java.util.Collections$SynchronizedRandomAccessList
 123:          1002          24048  scala.collection.immutable.Stream$Cons
 124:          1001          24024  org.apache.spark.executor.InputMetrics
 125:          1001          24024  org.apache.spark.executor.OutputMetrics
 126:          1001          24024  org.apache.spark.executor.ShuffleWriteMetrics
 127:          1001          24024  org.apache.spark.util.CollectionAccumulator
 128:          1001          24024  org.apache.spark.util.collection.BitSet
 129:           735          23520  java.util.concurrent.locks.ReentrantLock$NonfairSync
 130:           392          21952  scala.reflect.internal.Types$ClassArgsTypeRef
 131:           548          21920  java.io.ObjectStreamField
 132:           273          21840  scala.reflect.internal.Types$ClassInfoType
 133:           645          20640  com.esotericsoftware.kryo.Registration
 134:           360          20160  org.apache.kafka.common.metrics.Sensor
 135:            34          19584  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 136:           795          19080  sun.reflect.generics.tree.SimpleClassTypeSignature
 137:           626          18096  [Lorg.codehaus.janino.IClass$IMethod;
 138:           746          17904  scala.collection.immutable.HashSet$HashSet1
 139:           215          17456  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 140:             8          16528  [[C
 141:           678          16272  java.lang.Class$AnnotationData
 142:          1006          16096  java.util.LinkedHashMap$LinkedEntrySet
 143:          1006          16096  scala.math.BigInt
 144:          1002          16032  scala.collection.Iterator$$anonfun$toStream$1
 145:          1002          16032  scala.collection.MapLike$$anon$2
 146:          1001          16016  org.apache.spark.util.collection.OpenHashSet$IntHasher
 147:           164          15744  java.util.jar.JarFile$JarFileEntry
 148:           650          15600  java.util.concurrent.CopyOnWriteArrayList
 149:           795          15472  [Lsun.reflect.generics.tree.TypeArgument;
 150:           159          15264  org.jvnet.hk2.internal.SystemDescriptor
 151:           459          14688  java.lang.ThreadLocal$ThreadLocalMap$Entry
 152:           910          14560  java.util.HashSet
 153:           295          14160  java.util.WeakHashMap
 154:           189          13608  java.util.regex.Pattern
 155:           210          13440  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeObjectField
 156:           415          13280  scala.reflect.internal.Trees$Literal
 157:           103          13184  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$5
 158:            82          13120  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$1
 159:           818          13088  java.util.Collections$UnmodifiableSet
 160:            34          13056  io.netty.util.concurrent.FastThreadLocalThread
 161:           792          12672  sun.reflect.generics.tree.ClassTypeSignature
 162:           525          12600  java.util.Collections$UnmodifiableRandomAccessList
 163:           780          12480  com.google.common.collect.MapMakerInternalMap$StrongValueReference
 164:           389          12448  scala.reflect.internal.Names$TypeName_S
 165:           509          12216  java.util.concurrent.ConcurrentSkipListMap$Index
 166:           304          12160  scala.reflect.internal.AnnotationInfos$CompleteAnnotationInfo
 167:           166          11952  scala.reflect.internal.Types$AbstractNoArgsTypeRef
 168:           207          11592  sun.nio.cs.UTF_8$Encoder
 169:           204          11424  java.lang.invoke.MemberName
 170:           712          11392  java.util.concurrent.locks.ReentrantLock
 171:           349          11168  java.util.Vector
 172:           155          11160  sun.reflect.DelegatingClassLoader
 173:           344          11008  java.lang.ref.ReferenceQueue
 174:           341          10912  sun.misc.FDBigInteger
 175:            80          10880  io.netty.buffer.PoolArena$DirectArena
 176:            80          10880  io.netty.buffer.PoolArena$HeapArena
 177:           168          10752  java.util.jar.JarFile
 178:           336          10752  java.util.regex.Pattern$Curly
 179:            88          10560  org.glassfish.hk2.internal.ActiveDescriptorBuilderImpl$BuiltActiveDescriptor
 180:            11          10480  [Lio.netty.util.Recycler$DefaultHandle;
 181:           262          10480  org.apache.kafka.common.protocol.types.Field
 182:           100          10400  java.io.ObjectStreamClass
 183:           439          10384  [Ljava.lang.reflect.Type;
 184:           250          10000  java.security.ProtectionDomain
 185:           414           9936  org.apache.kafka.common.metrics.stats.Rate
 186:           596           9536  java.util.LinkedHashSet
 187:           397           9528  java.util.regex.Pattern$GroupHead
 188:           397           9528  java.util.regex.Pattern$GroupTail
 189:           170           9520  scala.reflect.internal.Types$ClassNoArgsTypeRef
 190:           191           9168  java.util.Hashtable
 191:           143           9152  scala.reflect.internal.Types$ModuleTypeRef
 192:           376           9024  org.glassfish.jersey.server.internal.routing.CombinedMediaType$EffectiveMediaType
 193:           223           8920  org.apache.log4j.Logger
 194:           184           8832  java.util.zip.Inflater
 195:           367           8808  sun.reflect.generics.factory.CoreReflectionFactory
 196:           180           8640  sun.misc.URLClassPath$JarLoader
 197:           179           8592  java.util.TreeMap
 198:           257           8224  org.apache.kafka.common.metrics.stats.Avg
 199:             1           8216  [Lscala.math.BigInt;
 200:           216           8152  [Lscala.reflect.internal.Types$Type;
 201:           249           7968  java.security.CodeSource
 202:           234           7896  [Lscala.collection.immutable.HashSet;
 203:           245           7840  java.util.concurrent.FutureTask
 204:           244           7808  org.apache.spark.sql.catalyst.expressions.ExpressionInfo
 205:            75           7800  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$12
 206:           324           7776  javax.management.ObjectName$Property
 207:           191           7640  scala.reflect.internal.BaseTypeSeqs$BaseTypeSeq
 208:           477           7632  java.util.LinkedHashMap$LinkedKeySet
 209:           476           7616  java.lang.Character
 210:           316           7584  org.apache.log4j.CategoryKey
 211:           277           7568  [Ljavax.management.ObjectName$Property;
 212:           154           7392  org.jvnet.hk2.internal.SystemInjecteeImpl
 213:           304           7296  sun.reflect.generics.scope.ClassScope
 214:           295           7080  java.util.concurrent.ConcurrentLinkedQueue
 215:           217           6944  org.apache.kafka.common.metrics.stats.Rate$SampledTotal
 216:           217           6944  org.glassfish.hk2.utilities.cache.Cache$OriginThreadAwareFuture
 217:           216           6912  scala.reflect.runtime.SymbolLoaders$TopClassCompleter
 218:           284           6808  [Ljava.security.cert.Certificate;
 219:           106           6784  scala.reflect.internal.pickling.UnPickler$Scan
 220:           282           6768  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 221:            31           6696  org.eclipse.jetty.servlet.ServletContextHandler
 222:           138           6624  java.util.logging.LogManager$LoggerWeakRef
 223:           202           6464  java.lang.invoke.LambdaForm$Name
 224:            80           6400  com.esotericsoftware.kryo.serializers.FieldSerializer
 225:            40           6400  scala.reflect.runtime.SynchronizedSymbols$SynchronizedSymbol$$anon$3
 226:           398           6368  com.sun.proxy.$Proxy8
 227:           198           6336  scala.collection.convert.Wrappers$MapWrapper
 228:           197           6304  org.apache.kafka.common.metrics.stats.Count
 229:            98           6272  org.apache.kafka.common.config.ConfigDef$ConfigKey
 230:           261           6264  org.apache.hadoop.conf.Configuration$DeprecatedKeyInfo
 231:           130           6240  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 232:           255           6120  com.esotericsoftware.kryo.Kryo$DefaultSerializerEntry
 233:            85           6120  scala.reflect.runtime.SymbolLoaders$PackageScope
 234:           252           6048  scala.collection.immutable.HashMap$HashTrieMap
 235:           187           5984  org.apache.kafka.common.metrics.stats.Max
 236:           360           5952  [Lorg.apache.kafka.common.metrics.Sensor;
 237:           186           5952  java.util.zip.ZipCoder
 238:           240           5760  [Lorg.apache.kafka.common.Node;
 239:           144           5760  java.lang.invoke.MethodType
 240:           358           5728  java.util.concurrent.atomic.AtomicInteger
 241:            94           5640  [Ljava.lang.ref.SoftReference;
 242:            88           5632  scala.reflect.internal.Types$PackageTypeRef
 243:           234           5616  scala.collection.immutable.HashSet$HashTrieSet
 244:           139           5560  javax.management.ObjectName
 245:           231           5544  org.apache.spark.sql.catalyst.analysis.FunctionRegistry$$anonfun$5
 246:            99           5544  org.apache.spark.sql.streaming.StreamingQueryProgress
 247:           346           5536  java.lang.ref.ReferenceQueue$Lock
 248:           230           5520  scala.reflect.internal.Constants$Constant
 249:           227           5448  java.util.ArrayDeque
 250:           136           5440  java.security.AccessControlContext
 251:           111           5328  org.jvnet.hk2.internal.ServiceHandleImpl
 252:           130           5200  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 253:            59           5192  org.codehaus.janino.ReflectionIClass
 254:           215           5160  java.lang.ThreadLocal$ThreadLocalMap
 255:           214           5136  org.slf4j.impl.Log4jLoggerAdapter
 256:           163           5128  [Ljava.io.ObjectStreamField;
 257:            57           5120  [S
 258:           157           5024  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
 259:           156           4992  sun.reflect.generics.repository.ClassRepository
 260:            31           4960  org.eclipse.jetty.servlet.ServletHandler
 261:           123           4920  java.util.TreeMap$Entry
 262:            68           4896  java.util.logging.Logger
 263:            68           4896  org.glassfish.hk2.utilities.DescriptorImpl
 264:           305           4880  java.lang.Byte
 265:           100           4800  com.esotericsoftware.kryo.serializers.UnsafeCacheFields$UnsafeIntField
 266:           100           4800  scala.reflect.internal.Types$RefinedType0
 267:           198           4752  java.util.concurrent.atomic.AtomicLong
 268:            99           4752  org.apache.spark.sql.streaming.SourceProgress
 269:           295           4720  java.util.HashMap$KeySet
 270:           290           4640  java.util.LinkedHashMap$LinkedValues
 271:           193           4632  javax.management.ImmutableDescriptor
 272:            32           4608  org.eclipse.jetty.servlet.ServletHolder
 273:           188           4512  org.glassfish.jersey.server.internal.routing.MethodSelectingRouter$ConsumesProducesAcceptor
 274:            33           4488  io.netty.channel.nio.NioEventLoop
 275:            40           4480  sun.nio.ch.SocketChannelImpl
 276:            31           4464  [Ljava.util.Queue;
 277:            31           4464  [Ljava.util.concurrent.ConcurrentMap;
 278:           184           4416  java.util.zip.ZStreamRef
 279:           112           4400  [Ljava.security.ProtectionDomain;
 280:            91           4368  java.util.concurrent.ConcurrentHashMap$TreeNode
 281:           181           4344  sun.reflect.NativeConstructorAccessorImpl
 282:           269           4304  java.lang.Short
 283:           160           4240  [Lcom.esotericsoftware.kryo.serializers.FieldSerializer$CachedField;
 284:            87           4176  org.jvnet.hk2.internal.ClazzCreator
 285:           130           4160  com.sun.jmx.mbeanserver.ConvertingMethod
 286:             1           4120  [Lscala.math.BigDecimal;
 287:           128           4096  java.util.Collections$UnmodifiableMap
 288:            40           4088  [Ljava.lang.reflect.Method;
 289:           253           4048  java.util.HashMap$EntrySet
 290:           167           4008  org.eclipse.jetty.util.component.ContainerLifeCycle$Bean
 291:           250           4000  [Ljava.security.Principal;
 292:           250           4000  java.security.ProtectionDomain$Key
 293:           220           3984  [Lsun.reflect.generics.tree.FormalTypeParameter;
 294:            99           3960  org.apache.spark.internal.config.ConfigEntryWithDefault
 295:           123           3936  java.util.logging.LogManager$LogNode
 296:            80           3840  java.util.concurrent.ThreadPoolExecutor$Worker
 297:           120           3840  org.apache.kafka.common.PartitionInfo
 298:           160           3840  org.apache.kafka.common.TopicPartition
 299:           158           3792  java.util.regex.Pattern$Single
 300:           156           3744  sun.reflect.generics.tree.ClassSignature
 301:           116           3712  sun.security.util.ObjectIdentifier
 302:           229           3664  com.fasterxml.jackson.databind.introspect.AnnotationMap
 303:            91           3640  org.jvnet.hk2.internal.IterableProviderImpl
 304:           113           3616  java.io.FileDescriptor
 305:           148           3552  sun.reflect.generics.repository.FieldRepository
 306:            49           3528  sun.nio.ch.EPollArrayWrapper
 307:            49           3528  sun.nio.ch.EPollSelectorImpl
 308:           110           3520  com.esotericsoftware.kryo.serializers.DefaultArraySerializers$ObjectArraySerializer
 309:           168           3512  [Ljava.lang.reflect.TypeVariable;
 310:           168           3464  [Lorg.codehaus.janino.IClass;
 311:           216           3456  scala.collection.mutable.BitSet
 312:           215           3440  sun.reflect.DelegatingConstructorAccessorImpl
 313:            61           3416  java.lang.Class$ReflectionData
 314:           141           3384  java.util.regex.Pattern$Slice
 315:            60           3360  java.security.Provider$Service
 316:           104           3328  java.io.File
 317:           138           3312  com.sun.jmx.mbeanserver.NamedObject
